,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Image ID,Image Source,Image Link,Keywords,R2 Score,Slope,Trending
0,0.0,0.0,0.0,../data/myntra/a881873a-7ac5-380e-8e72-54b8e4efa7c4.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283762/2023/3/10/f4911411-78a7-4191-bebf-0843899d17a41678457596916AASKPinkColourblockedCrepeFitFlareMidiDress1.jpg",pink skirt,0.3113461665305175,-2786.0056027454216,False
1,1.0,1.0,1.0,../data/myntra/a881873a-7ac5-380e-8e72-54b8e4efa7c4.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283762/2023/3/10/f4911411-78a7-4191-bebf-0843899d17a41678457596916AASKPinkColourblockedCrepeFitFlareMidiDress1.jpg",pleated skirt,0.1007533702960155,1008.6036761473428,True
2,2.0,2.0,2.0,../data/myntra/a881873a-7ac5-380e-8e72-54b8e4efa7c4.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283762/2023/3/10/f4911411-78a7-4191-bebf-0843899d17a41678457596916AASKPinkColourblockedCrepeFitFlareMidiDress1.jpg",belted skirt,0.0,-1.0,
3,3.0,3.0,3.0,../data/myntra/a881873a-7ac5-380e-8e72-54b8e4efa7c4.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283762/2023/3/10/f4911411-78a7-4191-bebf-0843899d17a41678457596916AASKPinkColourblockedCrepeFitFlareMidiDress1.jpg",casual outfit,0.352395306901858,-0.3583253140385216,False
4,4.0,4.0,4.0,../data/myntra/a881873a-7ac5-380e-8e72-54b8e4efa7c4.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283762/2023/3/10/f4911411-78a7-4191-bebf-0843899d17a41678457596916AASKPinkColourblockedCrepeFitFlareMidiDress1.jpg",summer outfit,0.873111601940246,-4499.267917498512,False
5,5.0,5.0,0.0,../data/myntra/c556ee63-a4d7-3e2f-bd2a-28fe1204dd1b.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28521952/2024/3/26/dab8a9f7-a941-4642-a39e-898342c6431f1711476451660FLOWERVELLYGeorgetteFormalMidiDress1.jpg",blue dress,0.9691412370223944,-4099.593581912595,False
6,6.0,6.0,1.0,../data/myntra/c556ee63-a4d7-3e2f-bd2a-28fe1204dd1b.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28521952/2024/3/26/dab8a9f7-a941-4642-a39e-898342c6431f1711476451660FLOWERVELLYGeorgetteFormalMidiDress1.jpg",pleated dress,0.9899744824231675,0.0001634224226102,True
7,7.0,7.0,2.0,../data/myntra/c556ee63-a4d7-3e2f-bd2a-28fe1204dd1b.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28521952/2024/3/26/dab8a9f7-a941-4642-a39e-898342c6431f1711476451660FLOWERVELLYGeorgetteFormalMidiDress1.jpg",midi dress,0.0338269209934478,-1161.1508449182677,False
8,8.0,8.0,3.0,../data/myntra/c556ee63-a4d7-3e2f-bd2a-28fe1204dd1b.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28521952/2024/3/26/dab8a9f7-a941-4642-a39e-898342c6431f1711476451660FLOWERVELLYGeorgetteFormalMidiDress1.jpg",v neck dress,0.0901621672225937,-0.7473173026105941,False
9,9.0,9.0,4.0,../data/myntra/c556ee63-a4d7-3e2f-bd2a-28fe1204dd1b.png,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28521952/2024/3/26/dab8a9f7-a941-4642-a39e-898342c6431f1711476451660FLOWERVELLYGeorgetteFormalMidiDress1.jpg",chiffon dress,0.0333897228034438,-428.8272314333669,False
